03.12.2018 RGB-PI Database for MAME 2010 (0.139) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  Libretro core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

pengo2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengo2u 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengo3u 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengo4 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pengob 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
penta 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
jrpacmbl 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
jrpacman 1920 224 60.606060 -4 -27 3 48 192 240 5 15734 mame2010 V
megadon 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
catapult 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
suprglob 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
theglob 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
theglob2 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
theglob3 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
igmo 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
dealer 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
revenger 1920 236 60.000000 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxian 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxiana 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxianm 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxianmo 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxiant 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
superg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galapx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
moonaln 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galap1 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galap4 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galturbo 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
swarm 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
zerotime 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
starfght 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
galaxbsf 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
kamakazi3 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
tst_galx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
gmgalax 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pisces 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
piscesb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
omni 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
uniwars 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
gteikoku 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
gteikokb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
gteikob2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
spacbatt 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
spacbat2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
spacempr 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
skyraidr 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
batman2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
warofbug 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
warofbugg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
redufo 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
redufob 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
exodus 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
streakng 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pacmanbl 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
pacmanbla 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
phoenxp2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
atlantisb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
tenspot 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
devilfsg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
zigzag 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
zigzag2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
jumpbug 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
jumpbugb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
levers 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
azurian 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
orbitron 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrgx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrst 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrstu 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrsto 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrstg 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrstuk 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
smooncrs 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncmw 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrsb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrs2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
spcdrag 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
stera 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
spcdraga 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mooncrs3 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
fantazia 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
moonqsr 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
mshuttle 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
mshuttlej 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
mshuttlej2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 H
moonal2 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
moonal2b 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
supergx 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 mame2010 V
